Prefix: (Registration Details),Reg No: (Registration Details),Suffix: (Registration Details),Site: (Collection Details)/Site: (Object Data from time of Collecting Event)/Event/Site: (Object Data from time of Collecting Event),Name: (Geological Details),Geo. Details/ Synonym: (Geological Details),Total Weight: (Specimen Details),Type: (Geological Details),Distribution,Acquisition Date: (Acquisition)
MET,83,,"USA, New Mexico, Many masses and fragments found in township 25 range 30, Union County, New Mexico. (36 13 0 N, 103 39 0 W)",,,44.4 kg,Stone. Olivine-hypersthene chondrite (L5).,"SAM: METAa 66.5g, METAb 66.2g.",1952
MET,84,,"USA, South Carolina, A stone of 13lb fell after detonations in Bishopville, Lee County, South Carolina. (34 10 0 N, 80 17 0 W)",,"BISCHOPVILLE, SUMTER COUNTY.",13 lb.,"Stone. Achondrite, Ca-poor. Aubrite (AUB).",SAM: MET84A 4.5g., Jun 1980
MET,85,,"USA, Texas, 1st mass found 3 miles SW of La Grange, Texas, around 1870. Further masses found in 1896 and 1917. (29 54 0 N, 96 48 0 W)",,"FAYETTE COUNTY, LA GRANGE",367 lb.,Stone. Olivine-hypersthene chondrite (L5).,SAM: MET 85A 749g.,01 Aug 1962
MET,86,,"USA, Florida, Found in 1938, recognized in 1956. (26 16 0 N, 81 45 0 W)",,,41.8 kg.,Stone. Olivine-bronzite chondrite (H5).,"SAM: MET86Aa 402g, MET86Ab 260g.",1967
MET,87,,"USA, Kansas, Kiowa County, Kansas. 20 masses found in 1882, more in 1892. Many masses found around Haviland Crater associated with this fall. (37 36 0 N, 99 12 0 W)",,"ANDERSON, HAMILTON COUNTY, HAVILAND, HOP",,Stony-iron. Pallasite (PAL).,"SAM: MET87A unknown wt (1 x 17 x 20cm slab set in plastic), MET87B 67.3g.",1901
MET,88,,"USA, Kansas, Thomas County, Kansas. (39 15 0 N, 101 20 0 W)",,,17 kg.,Stone. Olivine-hypersthene chondrite (L6).,SAM: MET88Aa 20g.,1959
MET,89,,"Argentina, Many large masses (eg. 15 tons, 1000kg etc) found over 350 years at Gran Chaco Gualamba, Chaco, Argentina. (27 28 0 S, 60 35 0 W)",,Many of the masses have separate names.,,"Iron. Octahedrite, coarse (3.0mm) with silicate inclusions (IA).",SAM: MET89Aa 15.2g.,1966
MET,90,,"USA, Arizona, Numerous masses of total weight over 30 tons have been found in the vicinity of Meteor Crater, 10 miles SE of Canyon Diablo. (35 3 0 N, 11 2 0 W)",,Many names,>30 tons,"Iron. Octahedrite, coarse (2.0mm) (IA).","SAM: MET90A 2.49kg, MET90B 1.00kg, MET90C 1.25kg, MET90D 137.3g, MET90E 624g, MET90F 510g.",01 Aug 1962
MET,91,,"USA, Arizona, About 13 miles SW of Clover Springs, Gila County, Arizona. (34 27 0 N, 11 22 0 W)",,,7.7 kg,Stony-iron. Mesosiderite (MES).,SAM: MET91A 44.6g.,1959
MET,92,,"USA, Kentucky, Several stones fell after the appearance of a fireball and detonations over Cumberland Falls, Whitley County, Kentucky. (36 50 0 N, 84 21 0 W)",,,,"Stone. Achondrite, Ca-poor. Aubrite (AUB).",SAM: MET92A 49.4g.,1973
MET,93,,"USA, Texas, 21 stones totalling 13.5kg found near Dimmitt, Castro County, Texas.  Fall may be identical to TULIA. (34 35 0 N, 102 10 0 W)",,,13.5 kg,"Stone. Olivine-bronzite chondrite (H4), brecciated.",SAM: MET93A 10.4g.,1959
MET,94,,"USA, Utah, Duchesne County, Utah. (40 23 0 N, 110 52 0 W)",,"DUCHESEN, DUCHESNE COUNTY, MT TABBY.",50 lb,"Iron. Octahedrite, fine (0.3mm) (IVA).",SAM: MET94 26g.,
MET,95,,"USA, New Mexico, Found in 1893, but may have fallen in 1892 when a fireball was seen to fall behind the El Capitan Range, Lincoln Co, New Mexico. (33 30 0 N, 105 30 0 W)",,CAPITAN RANGE,27.5 kg,"Iron. Octahedrite, medium (1.1mm) (IIIB).",SAM: MET95 1.143kg.,01 Aug 1962
MET,96,,"USA, Iowa, Shower of stones fell over an area of 2 square miles in Winnebago County, Iowa. (43 15 0 N, 93 40 0 W)",,"FOREST, IOWA, JOWA, KOSSUTH COUNTY, LELA",122 kg,"Stone. Olivine-bronzite chondrite (H5), brecciated.",SAM: MET96A 588g.,1901
MET,97,,"USA, South Carolina, Mass ploughed up in Forsyth County, South Carolina. (36 6 0 N, 80 12 0 W)",,,50 lb.,Iron. Octahedrite (IIA).,SAM: MET97A 312g.,1960
MET,98,,"USA, Arizona, Shower of stones fell after appearance of a smoky trail and detonations in Navajo County, Arizona. (34 54 0 N, 110 11 0 W)",,AZTEC,481 lb.,Stone. Olivine-hypersthene chondrite (L6).,SAM: MET98A 43.3g.,
MET,99,,"USA, Alabama, De Kalb County, Alabama. (34 41 0 N, 85 39 0 W)",,,140 kg.,"Iron. Octahedrite, medium (1.2mm) (IIIA).",SAM: MET99A 201g set in resin.,1966
MET,100,,"USA, Kansas, 2 stones found in Stanton County, Kansas. (37 33 0 N, 101 41 0 W)",,JOHNSON,10.4 kg.,Stone. Olivine-hypersthene chondrite (L6).,SAM: MET100A 178.2g.,1959
MET,101,,"USA, Colorado, After 4 explosions, 27 stones fell near Johnstown, Weld County, Colorado. (40 21 0 N, 104 54 0 W)",,"ELWELL, JONSTOWN, WELD COUNTY.",40.3 kg.,"Stone. Achondrite, Ca-poor. Diogenite (ADIO).",SAM: MET101A 489g.,1960
MET,102,,"USA, Texas, A mass of about 21kg found in Kendall County, Texas. (29 24 0 N, 98 30 0 W)",,SAN ANTONIO,21 kg.,"Iron. Hexahedrite (IRANOM), brecciated.",SAM: MET102A 625g.,1960
MET,103,,"Japan, Iwate, A single stone fell at Kesen, Iwate, Honshu. Okirai stone is part of this fall. (38 59 0 N, 141 37 0 E)",,"IWATE, OKIRAI.",135 kg.,Stone. Olivine-bronzite chondrite (H4).,SAM: MET103A 309g.,01 Aug 1962
MET,104,,"USA, Oklahoma, Mass of 8.18kg found in Kingfisher County, Oklahoma in 1950. Recognised in 1951. (35 50 0 N, 97 56 0 W)",,,8.18 kg.,Stone. Olivine-hypersthene chondrite (L5).,SAM: MET104A 87.8g.,1963
MET,105,,"FRANCE, Basse-Normandie, A shower of stones fell at 1pm with in an area of 6 x 2.5 miles at Orne. (48 46 0 N, 0 38 0 E)",,"AIGLA, AIGLE, OBER-PFALZ, WALDAU.",37 kg.,"Stone. Olivine-hypersthene chondrite (L6), brecciated.",SAM: MET105A 150.1g., Dec 1978
MET,106,,"USA, New Mexico, 4 miles W of Melrose, Curry County, New Mexico. (34 23 0 N, 103 37 0 W)",,,36.4 kg.,Stone. Olivine-hypersthene chondrite (L5).,SAM: MET106A 38.7g.,
MET,107,,"USA, New Mexico, 2 large stone and 4 fragments found on a ranch at Mills, Harding County, New Mexico. (36 13 48 N, 104 7 8 W)",,,88 kg.,Stone. Olivine-bronzite chondrite (H5).,SAM: MET 107A 137g.,17 Mar 1977
MET,108,,"USA, Kansas, 15 to 20 stones found scattered over an area of 14 square miles at Modoc, Scott County, Kansas, after a luminous meteor was seen. (38 30 0 N, 101 6 0 W)",,,35 lb.,Stone. Olivine-hypersthene chondrite (L6).,SAM: MET108A 449g.,15 Jun 1960
MET,109,,"USA, Texas, One mass found 7 miles S and 1 mile E of Monahans, Ward County, Texas. (31 29 0 N, 102 53 0 W)",,,27.9 kg.,"Iron. Octahedrite, plessitic (IIF).",SAM: MET109A 66.1g.,1959
MET,110,,"Egypt, About 40 stones fell after the appearance of a cloud and detonations at Abu Hommos, Alexandria. (31 19 0 N, 30 21 0 E)",,"ABDEL MALEK, EL NAKHLA AL BAHARIA.",40 kg.,"Stone. Achondrite, Ca-rich. Nakhlite (ACANOM).",SAM: MET110A 6.2g.,26 Jun 1980
MET,111,,"USA, Kansas, A total of 26 stones found over 5 years in and around Ness City, Ness County, Kansas. (38 30 0 N, 99 36 0 W)",,"KANSADA, NESS CITY, WELMANNVILLE, WELMAN",17 kg.,Stone. Olivine-hypersthene chondrite (L6).,SAM: MET111A 89.5g.,31 May 1960
MET,112,,"USA, Texas, There is a well developed meteorite crater at the place of the fall in Ector, County Texas. (31 43 0 N, 102 24 0 W)",,"ECTOR COUNTY, ECTOR COUNTY NO.3, MCCAMEY",,"Iron. Octahedrite, coarse (1.7mm) (IA).","SAM: MET112A 6.47kg, MET112B 7.72kg, MET112C 6.387kg, MET112D 1.724kg.",1958
MET,113,,"FRANCE, Midi-Pyrenees, After a luminous meteor, about 20 stones fell over an area of 2 square miles at Montauban, Tarn-et-Garonne, France. (43 53 0 N, 1 23 0 E)",,"MONTAUBAN, ORGUELL",~10 kg,"Stone. Carbonaceous chondrite, type I (C1).",SAM: MET113A 17.6g, Jul 1973
MET,114,,"USA, Arkansas, 2 stones of 820lb & 80lb fell in Green County, Arkansas. (36 4 0 N, 90 30 0 W)",,,900 lb,"Stone. Olivine-hypersthene chondrite, amphoterite (LL5).",SAM: MET114A 190.3g., Nov 1937
MET,115,,"USA, New Mexico, 75 stones totalling 3-4 kg collected along a trail 28 miles long in Union County, New Mexico. (36 13 0 N, 103 24 0 W)",,,3-4 kg,"Stone. Achondrite, Ca rich. Eucrite (AEUC).",SAM: MET 115Aa 123 g.,1936
MET,116,,"USA, Texas, 31 kg found in 1917 in Hale County, Texas.  In total about 700 kg of this fall has been collected. (34 7 0 N, 101 47 0 W)",,"DEATH VALLEY, HALE COUNTY",700 kg,"Stone. Olivine-bronzite chondrite (H5), brecciated.",SAM: MET116A 765g.,
MET,117,,"Mexico, Coahuila, A mass in the museum of the Mexico Geol Inst labelled as Puente del Zacate.  This locality is also given for the Coahuila irons. (27 52 0 N, 101 30 0 W)",,,31 kg,"Iron. Octahedrite, medium (0.1mm)(IIIA).",SAM: MET117Aa 35.7 g.,
MET,118,,"USA, North Dakota, Many stones totalling 200lb fell over an area 9x5 miles between Richardton and Mott, Stark County, North Dakota. (46 53 0 N, 102 19 0 W)",,,200 lb,Stone. Olivine-bronzite chondrite (H5).,SAM: MET118A 160.4 g.,
MET,119,,"USA, New Mexico, A weathered stone was found 11 miles E of Roy, Harding County, New Mexico.  104 lb of fragments were recovered. (35 57 0 N, 104 12 0 W)",,,104 lb,Stone. Olivine-hypersthene chondrite (L5).,SAM: MET119Aa 186.3 g.,1936
MET,120,,"Mexico, Tlaxcala, A mass of 1315.6 kg was found at Nativitas, Tlaxcala. (19 13 0 N, 98 18 0 W)",,"APOLLONIA, NATIVITAS, NATIVITAS TLAXCALA",1315.6kg,"Iron. Octahedrite, medium (0.9mm)(IIIA).",SAM: MET120A 278 g.,1952
MET,121,,"USA, Georgia, A mass of 800 kg was found by a farmer whilst ploughing 6 miles WSW of Sardis, Burke Co., Georgia. (32 56 56 N, 81 51 54 W)",,,800 kg,"Iron. Octahedrite, coarse (2.5mm) (IA).","SAM: MET121A set in resin, weight unknown, slab 1 x 10 11 cm.",1952
MET,122,,"USA, Alabama, A stone of 310 lb found near Selma, Dallas County, Alabama. (32 24 0 N, 87 0 0 W)",,,310 lb,Stone. Olivine-bronzite chondrite (H4).,SAM: MET122A 504g.,1960
MET,123,,"Canada, Saskatchewan, 3 masses of 85 lb, 41 lb & 23 lb found near Springwater, 100 miles W of Saskatoon, Saskatchewan. (52 0 0 N, 108 18 0 W)",,,149 lb,Stony-iron. Pallasite (PAL).,SAM: MET123A 199g.,
MET,124,,"Mexico, Mexico State, Many masses, the largest of 300 lb, were found near Xiquiplico, Mexico State, and were being forged into farm equipment by 1776. (19 34 0 N, 99 34 0 W)",,"ALBERT IRON, AMATES, CAPARROSA, HIQUIPLI",,"Iron. Octahedrite, coarse (1.4mm) (IA).","SAM: MET124A 273 g, MET124B 812 g, MET124C 21 g.",1901
MET,125,,"Saudi Arabia, A mass of 131lb is said to have been seen to fall in the Wadee Banee Khaled, Ruba'l Khali in 1863. Other masses found later. (21 29 59 N, 50 28 20 E)",,"AL-HADIDA, NEDZED, NEJD, NEJED, WADEE BA",294 lb,"Iron. Octahedrite, medium (0.9mm) (IIA).",SAM: MET125A 13.4g.,05 Aug 1958
MET,126,,"Australia, South Australia, 3 fragments (181g, 8g & 3.5g) and 1 of 72g given to the WAM by J Clohessy and A J Carlisle, found 1-2km S of Flood Donga., Nullarbor Plain (29 39 0 S, 129 8 0 E)",,,264.5 g,Stone. Olivine-pyroxene chondrite (H6).,"SAM: MET126Aa 110.3g, MET 126Ab 37.3g.  Remainder at WAM.", Jul 1977
MET,127,,"Australia, Western Australia, Numerous large masses found over many years in the Avon region of SW Western Australia. (32 6 0 S, 117 43 0 E)",,"MOORANOPPIN, MT STIRLING, PENKARRING ROC",> 4 tons,"Iron. Octahedrite, coarse (2.3mm) (IA).",SAM: MET127A 276g.,26 Jun 1992
MET,128,,"USA, Illinois, One mass of 48 kg discovered by a farmer while ploughing at Woodbine, Jo Davies County, Illinois. (42 20 48 N, 90 10 3 W)",,,48 kg,"Iron. Octahedrite,fine (0.4mm) with silicate inclusions (IB-ANOM)",SAM: MET128A 245g,26 Jun 1992
MET,129,,"Australia, New South Wales, One mass of 14kg found about 130 miles N of Broken Hill, close to Boolka. (30 6 0 S, 141 4 0 E)",,"MOORABBIE, QUINYAMBIE.",14.04 kg,Stone. Olivine-hypersthene chondrite (L3).,"SAM: MET129Aa 1.547 kg, MET129Ab 31.3g, main mass in possession of L Russell.", May 1978
MET,130,,"Mexico, A shower of stones fell over an elliptical area over 10km in length at Zacatetas, Mexico. (28 18 0 N, 102 8 0 W)",,,> 5 kg,Stone. Olivine-bronzite chondrite (H5).,SAM: MET130A 41.7 g.,14 Mar 1989
MET,131,,"Australia, South Australia, Found between Gawler and Clare.  Possibly from the Henbury fall, but may be distinct., Mid North (34 10 0 S, 138 40 0 E)",,,20.5 lb,"Iron. Octahedrite, medium.","SAM: MET131Aa 8.8g, MET131Ba 19.4 g (polished block). WAM: 145.6g AM: 62.9g.",1980
MET,132,,"Australia, Northern Territory, Near Alice Springs, Central Australia (23 42 0 S, 133 52 0 E)",,,998 g,Iron.,SAM: MET132Aa 522g.,04 Feb 1982
MET,133,,"Australia, Western Australia, Kalgoorlie district. (30 45 0 S, 121 28 0 E)",,,unknown,Stone. Chondrite,SAM: MET133A 346 g., Apr 1945
MET,134,,"Australia, Western Australia, Kalgoorlie district. (30 45 0 S, 121 28 0 E)",,,unknown,Stone. Chondrite,SAM: MET134A 142.7 g., Apr 1945
MET,135,,"Australia, Western Australia, Kalgoorlie district. (30 45 0 S, 121 28 0 E)",,,unknown,Stone. Chondrite,SAM: MET135A 58.8 g., Apr 1945
MET,136,,"Australia, Western Australia, Kalgoorlie district. (30 45 0 S, 121 28 0 E)",,,unknown,Stone. Chondrite,SAM: MET136A 81.3 g., Apr 1945
MET,137,,"Australia, Western Australia, Kalgoorlie district. (30 45 0 S, 121 28 0 E)",,,unknown,Stony-iron. Pallasite (PAL).,"SAM: MET137Aa 38.2 g, 71 g piece missing", Apr 1945
MET,138,,"USA, New Mexico, New Mexico.",,,unknown,Iron.,SAM: MET138A 9.0 g.,
MET,139,,"Mexico, Mexico",,,unknown,Iron. Octahedrite.,SAM: MET139A 145.8 g.,1901
MET,140,,"Australia, Northern Territory, In the vicinity of the Northern Territory/Western Australia border, SW of Alice Springs., Central Australia",,,unknown,Stony-iron. Mesosiderite,SAM: MET140A 71.6 g., Dec 1974
MET,141,,"Australia, South Australia, On a sandy ridge at Maralinga.  Recognised in 1989., Far North (30 18 0 S, 131 16 0 E)",,,3.38 kg,Stone. Carbonaceous chondrite (C5).,SAM: MET141A 50.4 g., Dec 1990
MET,142,,"Australia, South Australia, Several pieces totalling over 100kg found near Cook sometime in 1989.  Illegally exported from Australia., Nullarbor Plain (30 36 0 S, 130 24 0 E)",,,> 100kg,Stone. Olivine-bronzite chondrite (H4).,"SAM: MET142Aa 60lb, MET142Ab 109.1 g.", Apr 1991
MET,143,,"Australia, South Australia, 16 km N of Fisher on the E-W railway line.  Found by an unknown collector and illegally exported., Nullarbor Plain (30 33 0 S, 130 58 0 E)",,,19 kg,Stone. Olivine-bronzite chondrite (H5).,SAM: MET143Aa 25.5 g, Nov 1990
MET,144,,"Australia, South Australia, 30 miles N of Cook, Nullarbor Plain (30 10 0 S, 130 25 0 E)",,,98 g,Stone. Achondrite. Eucrite (AEUC).,SAM: MET144A 8.5g.  Remainder with D New., Mar 1991
MET,145,,"Australia, South Australia, 15 miles N of Hughes.  Illegally exported from Australia., Nullarbor Plain (30 30 0 S, 129 30 0 E)",,,379 g,Stone. Amphoterite (LL6).,SAM: MET145Aa 15.1 g, Mar 1991
MET,146,,"Australia, South Australia, 7km S of Yarle Lake & 20km N of Watson., Nullarbor Plain (30 19 0 S, 131 28 0 E)",,,912 g,Stone. Olivine-bronzite chondrite (H5).,SAM: MET146Aa 23.4 g, Mar 1991
MET,147,,"Australia, Western Australia, Nullarbor or Kalgoorlie district.",,,,Iron.,SAM: MET147A 69 g, Apr 1945
MET,148,,"Australia, South Australia, 58 km NW of Hughes., Nullarbor Plain (30 24 0 S, 129 1 0 E)",,,44 g,Stone. Olivine-hypersthene chondrite (L5).,"SAM: Met148A 3.39 g, main mass with donor Blaine Reed.",23 Aug 1995
MET,149,,"Australia, South Australia, 34 km S of Muckera Rockhole, 35 km NNE of Denman., Nullarbor Plain (30 22 0 S, 130 5 0 E)",,,14 g,Stone. Chondrite (L).,"SAM: MET149A 1.14g, main mass (2 stones) with donor Blaine Reed.",23 Aug 1995
MET,150,,"Australia, South Australia, 15 km E of Lake Frome, 68 km NE of Frome Downs homestead., Far North (30 42 38 S, 140 9 51 E)",,,201 g,Stone. Olivine-bronzite chondrite (H5).,"SAM: MET150A 4.24g, main mass with donor Blaine Reed.",23 Aug 1995
MET,151,,"Australia, South Australia, 15 km E of Lake Frome, 68 km NE of Frome Downs homestead., Far North (30 42 38 S, 140 9 51 E)",,,5 g,Stone. Olivine-bronzite chondrite (H6).,"SAM: MET151A 0.53g, main mass with donor Blaine Reed.",23 Aug 1995
MET,152,,"Australia, South Australia, 15 km E of Lake Frome, 68 km NE of Frome Downs homestead., Far North (30 42 38 S, 140 9 51 E)",,,107 g,Stone. Olivine-bronzite chondrite (H6).,"SAM: MET152A 4.48g, main mass with donor Blaine Reed.",23 Aug 1995
MET,153,,"Australia, South Australia, 15 km E of Lake Frome, 68 km NE of Frome Downs homestead., Far North (30 42 38 S, 140 9 51 E)",,,54 g,Stone. Olivine-hypersthene chondrite (L5).,"SAM: MET153A 2.46g, main mass with donor Blaine Reed.",23 Aug 1995
MET,154,,"Australia, South Australia, 21 km NE of Hughes., Nullarbor Plain (30 33 40 S, 129 38 34 E)",,,64.7 g,Stone. Olivine-bronzite chondrite (H5).,"SAM: MET154A 7.12g, main mass with donor J Y Murakami.",15 Jun 1998
MET,155,,"Australia, South Australia, 17 km NE of Hughes., Nullarbor Plain (30 36 52 S, 129 37 54 E)",,,59 g,Stone. Olivine-bronzite chondrite (H6).,"SAM: MET155A 4.42g, main mass with donor J Y Murakami.",15 Jun 1998
MET,156,,"Australia, South Australia, 33 km NNW of Hughes., Nullarbor Plain (30 24 49 S, 129 20 30 E)",,,74 g,Stone. Olivine-bronzite chondrite (H5).,"SAM: MET156A 5.22g, main mass with donor J Y Murakami.",15 Jun 1998
MET,157,,"Australia, South Australia, On one of Mr Cliff's two properties, south of Kimba., Eyre Peninsula (33 13 0 S, 136 25 0 E)",,,1.486 kg,Stone. Olivine-bronzite chondrite (H4).,"SAM: MET157A 1.458 kg, MET157Aa 21.73 g, MET 5.49 g.", Nov 1995
MET,158,,"Australia, South Australia, On top of a sand dune, 70 km W of the southern end of Poolowanna Lake, Simpson Desert., Far North (26 49 54 S, 136 51 31 E)",,,875 g,Stone. Olivine-bronzite chondrite (H5).,"SAM: MET158A 826 g, MET158Aa 28.55 g.",
MET,159,,"India, Bihar (24 33 0 N, 84 50 0 E)",,"Behar, Shergatti, Umjhiawar",30.67g,Stone. Achondrite,"Mus. Geol. Surv. India 3.6kg, USNM 270g, Nat His Mus Vienna 211g, Field Mus. Nat Hist: 37g, Am. Mus. Nat. Hist.: 46g. SAM: MET159A 30.67g.", Sep 1994
MET,160,,"Australia, South Australia, Flinders Ranges",,,,,No,
MET,161,,"FRANCE, Franche-Comte, After detonations, a stone of about 6kg fell and broke into 2 pieces at Ornans, Department of Doubs. (47 7 0 N, 6 9 0 E)",,,6 kg,Stone. Carbonaceous chondrite (CO3.3),SAM: MET 161Aa 6.8g.,1994
MET,162,,"POLAND, Fall observed 23km SSW of Warsaw. (52 2 0 N, 20 56 9 E)",,,15.5 kg,"Stone. Chondrite, ordinary (L5).",SAM: MET 162A 2.3g (phial of 7 fragments).,
MET,163,,"ANTARCTICA, MacAlpine Hills",,,662 g,Stone. Lunar (Anorthositic breccia) (Lun-A).,SAM: MET 163Aa 2 fragments set in resin.,
MET,164,,"AZERBAIJAN, Nagorno-Karabakh (39 45 0 N, 46 49 0 E)",,,,Stone. Enstatite chondrite (EH4).,SAM: MET 164Aa 28.8g (2 sawn sections).,
MET,165,,"RUSSIA, Maritime Territory (46 9 36 N, 134 39 21 E)",,,"27,000kg",Iron. Coarsest octahedrite (IIAB).,SAM: MET 165A 8kg.,
MET,166,,"RUSSIA, Maritime Territory (46 9 36 N, 134 39 21 E)",,,"27,000kg",Iron. Coarsest octahedrite (IIAB).,SAM: MET 166A 6kg.,
MET,167,,"Australia, Northern Territory, From the meteorite craters on Henbury Cattle Station, about 120km SW of Alice Springs. (24 34 0 S, 133 10 0 E)",,,2500kg,"Iron. Octahedrite, medium (0.9mm) (IIIA).",SAM: MET 167A 1.27 kg,
MET,168,,"Australia, Northern Territory, From the meteorite craters on Henbury Cattle Station, about 120km SW of Alice Springs. (24 34 0 S, 133 10 0 E)",,,2500kg,"Iron. Octahedrite, medium (0.9mm) (IIIA).",SAM: MET 168A 2 kg,
MET,169,,"Australia, South Australia, Possibly Cook area.",,,,,SAM: MET169A 55.8g.,28 Nov 2001
MET,170,,"Australia, Northern Territory, Possibly Henbury",,,,Iron.,SAM : MET170A 864.7g.,
MET,171,,Australia,,,,,SAM : MET171A 146.8g.,1945
MET,172,,"Australia, Western Australia, Somewhere on East-West railway line.",,,,,SAM : MET172A 9.2g.,1920
MET,173,,"Australia, Queensland",,,10 kg,Stone. Chondrite (L).,SAM: MET173A 128 g., May 2008
MET,174,A,"Australia, South Australia, 3 km southwest of West Well, Witchelina Station, Witchelina Station (30 27 37 S, 137 18 0 E)",,,,H5,SAM : MET174A 200.68g, Apr 2011
MET,175,,"Australia, South Australia, Lake Eyre South (29 15 39 S, 137 32 16 E)",,,1680 g,H5,"SAM main mass 1355g. UWA Desert Fireball Network Collection 137.2g, 86.9g, Also 38.6g cut slab and 1 polished ""thick"" section.",
